Yong Guan,Claremont Graduate University,cgu.edu,12,DS | ML | AI | GIS | BIG DATA,https://scholar.google.com/citations?hl=en&user=qWg4nMIAAAAJ
Bill Jung,Claremont Graduate University,cgu.edu,11,cybersecurity | data science | data analysis | software development | information technology,https://scholar.google.com/citations?hl=en&user=M3yFXVcAAAAJ
Jason Beck,PhD student Claremont Graduation University,cgu.edu,9,Mindfulness | Leadership | Organizational Psychology,https://scholar.google.com/citations?hl=en&user=wi8wxXsAAAAJ
Gregory Hennessy,Claremont Graduate University,cgu.edu,8,strategy | organization | leadership | entrepreneurship,https://scholar.google.com/citations?hl=en&user=6MHeKqsAAAAJ
Sean Butler,Claremont Graduate University,cgu.edu,7,Philosophy | Religion,https://scholar.google.com/citations?hl=en&user=wkdS8oYAAAAJ
Hisam Sabouni,"Visiting Professor, Claremont Graduate University",cgu.edu,7,finance | machine learning | econometrics | behavioral finance,https://scholar.google.com/citations?hl=en&user=hDjlE-QAAAAJ
Haley Umans,Claremont Graduate University,cgu.edu,7,evaluation | youth development,https://scholar.google.com/citations?hl=en&user=dPS9sDgAAAAJ
Maryah Garner,Claremont Graduate University,cgu.edu,7,Crime Economics | Causal Inference | Public Policy,https://scholar.google.com/citations?hl=en&user=zvIj83IAAAAJ
Jeff Ramdass,Claremont Graduate University,cgu.edu,7,Social identity theory | uncertainty identity theory | leadership | morality | moral violations,https://scholar.google.com/citations?hl=en&user=cvxB2EMAAAAJ
Matthew Gomies,Claremont Graduate University,cgu.edu,7,Applied Microeconomics | Behavioral Economics,https://scholar.google.com/citations?hl=en&user=mWYOTXsAAAAJ
Juanita Cifuentes González (ORCID: 0000-0003-2143-2120),"Economics PhD Student, Claremont Graduate University",cgu.edu,7,Applied microeconomics | Economics of education | Economic Development | Applied microeconometrics,https://scholar.google.com/citations?hl=en&user=IOvU5nMAAAAJ
Md Moniruzzaman,Claremont Graduate University,cgu.edu,7,Database | Data Warehouse | Data Analytic | Data Science | Machine learning,https://scholar.google.com/citations?hl=en&user=Fg0ESGIAAAAJ
Bruce Paolozzi,Claremont Graduate University,cgu.edu,6,Aquinas | Metaphysics | philosophy of mind,https://scholar.google.com/citations?hl=en&user=MUOYZFsAAAAJ
